GEOID,NAME,estimate
08099,"Prowers County, Colorado",12052
08101,"Pueblo County, Colorado",164685
08103,"Rio Blanco County, Colorado",6465
08105,"Rio Grande County, Colorado",11351
08107,"Routt County, Colorado",24874
08109,"Saguache County, Colorado",6468
08111,"San Juan County, Colorado",544
08113,"San Miguel County, Colorado",7968
08115,"Sedgwick County, Colorado",2350
08117,"Summit County, Colorado",30429
08119,"Teller County, Colorado",24113
08121,"Washington County, Colorado",4840
08123,"Weld County, Colorado",295123
08125,"Yuma County, Colorado",10069
09001,"Fairfield County, Connecticut",944348
09003,"Hartford County, Connecticut",894730
09005,"Litchfield County, Connecticut",183031
09007,"Middlesex County, Connecticut",163368
09009,"New Haven County, Connecticut",859339
09011,"New London County, Connecticut",268881
09013,"Tolland County, Connecticut",151269
09015,"Windham County, Connecticut",116538
10001,"Kent County, Delaware",174822
10003,"New Castle County, Delaware",555133
10005,"Sussex County, Delaware",219540
11001,"District of Columbia, District of Columbia",684498
12001,"Alachua County, Florida",263148
12003,"Baker County, Florida",27785
12005,"Bay County, Florida",182482
12007,"Bradford County, Florida",26979
12009,"Brevard County, Florida",576808
12011,"Broward County, Florida",1909151
12013,"Calhoun County, Florida",14444
12015,"Charlotte County, Florida",176954
12017,"Citrus County, Florida",143087
12019,"Clay County, Florida",207291
12021,"Collier County, Florida",363922
12023,"Columbia County, Florida",69105
12027,"DeSoto County, Florida",36399
12029,"Dixie County, Florida",16437
12031,"Duval County, Florida",924229
12033,"Escambia County, Florida",311522
12035,"Flagler County, Florida",107139
12037,"Franklin County, Florida",11736
12039,"Gadsden County, Florida",46017
12041,"Gilchrist County, Florida",17615
12043,"Glades County, Florida",13363
12045,"Gulf County, Florida",16055
12047,"Hamilton County, Florida",14269
12049,"Hardee County, Florida",27228
12051,"Hendry County, Florida",40127
12053,"Hernando County, Florida",182696
12055,"Highlands County, Florida",102101
12057,"Hillsborough County, Florida",1378883
12059,"Holmes County, Florida",19430
12061,"Indian River County, Florida",150984
12063,"Jackson County, Florida",48472
12065,"Jefferson County, Florida",14105
12067,"Lafayette County, Florida",8744
12069,"Lake County, Florida",335362
12071,"Lee County, Florida",718679
12073,"Leon County, Florida",288102
12075,"Levy County, Florida",39961
12077,"Liberty County, Florida",8365
12079,"Madison County, Florida",18474
12081,"Manatee County, Florida",373853
12083,"Marion County, Florida",348371
12085,"Martin County, Florida",157581
12086,"Miami-Dade County, Florida",2715516
12087,"Monroe County, Florida",76325
12089,"Nassau County, Florida",80578
12091,"Okaloosa County, Florida",200737
12093,"Okeechobee County, Florida",40572
12095,"Orange County, Florida",1321194
12097,"Osceola County, Florida",338619
12099,"Palm Beach County, Florida",1446277
12101,"Pasco County, Florida",510593
12103,"Pinellas County, Florida",957875
12105,"Polk County, Florida",668671
12107,"Putnam County, Florida",72766
12109,"St. Johns County, Florida",235503
12111,"St. Lucie County, Florida",305591
12113,"Santa Rosa County, Florida",170442
12115,"Sarasota County, Florida",412144
12117,"Seminole County, Florida",455086
12119,"Sumter County, Florida",120999
12121,"Suwannee County, Florida",43924
12123,"Taylor County, Florida",22098
12125,"Union County, Florida",15239
12127,"Volusia County, Florida",527634
12129,"Wakulla County, Florida",31877
12131,"Walton County, Florida",65858
12133,"Washington County, Florida",24566
13001,"Appling County, Georgia",18454
13003,"Atkinson County, Georgia",8265
13005,"Bacon County, Georgia",11228
13007,"Baker County, Georgia",3189
13009,"Baldwin County, Georgia",45286
13011,"Banks County, Georgia",18510
13013,"Barrow County, Georgia",76887
13015,"Bartow County, Georgia",103620
13017,"Ben Hill County, Georgia",17154
13019,"Berrien County, Georgia",19025
13021,"Bibb County, Georgia",153490
13023,"Bleckley County, Georgia",12775
13025,"Brantley County, Georgia",18561
13027,"Brooks County, Georgia",15622
13029,"Bryan County, Georgia",35885
13031,"Bulloch County, Georgia",74782
13033,"Burke County, Georgia",22550
13035,"Butts County, Georgia",23750
13037,"Calhoun County, Georgia",6428
13039,"Camden County, Georgia",52714
13043,"Candler County, Georgia",10827
13045,"Carroll County, Georgia",116022
13047,"Catoosa County, Georgia",66299
13049,"Charlton County, Georgia",12983
13051,"Chatham County, Georgia",287049
13053,"Chattahoochee County, Georgia",10767
13055,"Chattooga County, Georgia",24817
13057,"Cherokee County, Georgia",241910
13059,"Clarke County, Georgia",124602
13061,"Clay County, Georgia",3001
13063,"Clayton County, Georgia",278666
13065,"Clinch County, Georgia",6743
13067,"Cobb County, Georgia",745057
13069,"Coffee County, Georgia",42961
13071,"Colquitt County, Georgia",45606
13073,"Columbia County, Georgia",147295
13075,"Cook County, Georgia",17184
13077,"Coweta County, Georgia",140516
13079,"Crawford County, Georgia",12344
13081,"Crisp County, Georgia",22846
13083,"Dade County, Georgia",16227
13085,"Dawson County, Georgia",23861
13087,"Decatur County, Georgia",26833
13089,"DeKalb County, Georgia",743187
13091,"Dodge County, Georgia",20919
13093,"Dooly County, Georgia",13905
13095,"Dougherty County, Georgia",91049
13097,"Douglas County, Georgia",141840
13099,"Early County, Georgia",10348
13101,"Echols County, Georgia",3994
13103,"Effingham County, Georgia",58689
13105,"Elbert County, Georgia",19212
13107,"Emanuel County, Georgia",22499
13109,"Evans County, Georgia",10727
13111,"Fannin County, Georgia",24925
13113,"Fayette County, Georgia",111369
13115,"Floyd County, Georgia",96824
