Confirmed,Date,Deaths,Province_State,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,State_FIPS,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7
390450.0,2020-07-25,5712.0,Texas,9872.0,178.0,9037.285714285714,160.42857142857142,9711.214285714286,147.57142857142858,TX,53.24,55.9,48,Texas,27885195.0,32.408902696523064,0.5753180905802215
394076.0,2020-07-26,5809.0,Texas,3626.0,97.0,8401.0,159.57142857142858,9375.07142857143,147.35714285714286,TX,53.24,55.9,48,Texas,27885195.0,30.127097909840685,0.5722442628478251
400303.0,2020-07-27,6487.0,Texas,6227.0,678.0,8068.857142857143,239.28571428571428,9317.785714285714,189.35714285714286,TX,53.24,55.9,48,Texas,27885195.0,28.935989663537022,0.8581102419607046
408473.0,2020-07-28,6758.0,Texas,8170.0,271.0,8177.142857142857,260.7142857142857,9196.857142857143,200.64285714285714,TX,53.24,55.9,48,Texas,27885195.0,29.324316567063118,0.9349559352706184
419048.0,2020-07-29,7070.0,Texas,10575.0,312.0,7883.857142857143,268.7142857142857,9142.142857142857,211.28571428571428,TX,53.24,55.9,48,Texas,27885195.0,28.272555177961436,0.9636449941063195
428320.0,2020-07-30,7196.0,Texas,9272.0,126.0,7873.142857142857,259.14285714285717,8740.714285714286,208.28571428571428,TX,53.24,55.9,48,Texas,27885195.0,28.234132331306476,0.9293205844278914
439633.0,2020-07-31,7311.0,Texas,11313.0,115.0,8436.42857142857,253.85714285714286,8696.142857142857,204.07142857142858,TX,53.24,55.9,48,Texas,27885195.0,30.254149456113073,0.9103653134114459
446145.0,2020-08-01,7582.0,Texas,6512.0,271.0,7956.428571428572,267.14285714285717,8496.857142857143,213.78571428571428,TX,53.24,55.9,48,Texas,27885195.0,28.532805925971008,0.9580096432635926
449674.0,2020-08-02,7589.0,Texas,3529.0,7.0,7942.571428571428,254.28571428571428,8171.785714285715,206.92857142857142,TX,53.24,55.9,48,Texas,27885195.0,28.483112377630597,0.9119022272776443
458148.0,2020-08-03,7727.0,Texas,8474.0,138.0,8263.57142857143,177.14285714285714,8166.214285714285,208.21428571428572,TX,53.24,55.9,48,Texas,27885195.0,29.63426086341311,0.6352577313619544
467682.0,2020-08-04,7961.0,Texas,9534.0,234.0,8458.42857142857,171.85714285714286,8317.785714285714,216.28571428571428,TX,53.24,55.9,48,Texas,27885195.0,30.333044367911253,0.6163024603455091
478567.0,2020-08-05,8321.0,Texas,10885.0,360.0,8502.714285714286,178.71428571428572,8193.285714285714,223.71428571428572,TX,53.24,55.9,48,Texas,27885195.0,30.491858800751746,0.6408930822046814
485678.0,2020-08-06,8578.0,Texas,7111.0,257.0,8194.0,197.42857142857142,8033.571428571428,228.28571428571428,TX,53.24,55.9,48,Texas,27885195.0,29.38476851246692,0.7080049876953395
493241.0,2020-08-07,8857.0,Texas,7563.0,279.0,7658.285714285715,220.85714285714286,8047.357142857143,237.35714285714286,TX,53.24,55.9,48,Texas,27885195.0,27.46362617971908,0.7920229457141786
499625.0,2020-08-08,9062.0,Texas,6384.0,205.0,7640.0,211.42857142857142,7798.214285714285,239.28571428571428,TX,53.24,55.9,48,Texas,27885195.0,27.398051188094616,0.7582108406578165
505451.0,2020-08-09,9162.0,Texas,5826.0,100.0,7968.142857142857,224.71428571428572,7955.357142857143,239.5,TX,53.24,55.9,48,Texas,27885195.0,28.57481490498043,0.8058551705099631
511747.0,2020-08-10,9230.0,Texas,6296.0,68.0,7657.0,214.71428571428572,7960.285714285715,195.92857142857142,TX,53.24,55.9,48,Texas,27885195.0,27.459015438120478,0.7699938469653367
519910.0,2020-08-11,9227.0,Texas,8163.0,-3.0,7461.142857142857,180.85714285714286,7959.785714285715,176.35714285714286,TX,53.24,55.9,48,Texas,27885195.0,26.75664580126787,0.6485776515356728
526280.0,2020-08-12,9531.0,Texas,6370.0,304.0,6816.142857142857,172.85714285714286,7659.428571428572,175.78571428571428,TX,53.24,55.9,48,Texas,27885195.0,24.443590432639457,0.6198885926999717
533184.0,2020-08-13,9772.0,Texas,6904.0,241.0,6786.571428571428,170.57142857142858,7490.285714285715,184.0,TX,53.24,55.9,48,Texas,27885195.0,24.33754337587178,0.6116917187469142
542031.0,2020-08-14,10083.0,Texas,8847.0,311.0,6970.0,175.14285714285714,7314.142857142857,198.0,TX,53.24,55.9,48,Texas,27885195.0,24.99534251060464,0.6280854666530291
548928.0,2020-08-15,10273.0,Texas,6897.0,190.0,7043.285714285715,173.0,7341.642857142857,192.21428571428572,TX,53.24,55.9,48,Texas,27885195.0,25.25815478172455,0.6204008973220377
557778.0,2020-08-16,10401.0,Texas,8850.0,128.0,7475.285714285715,177.0,7721.714285714285,200.85714285714286,TX,53.24,55.9,48,Texas,27885195.0,26.80736395885241,0.6347454267398883
563500.0,2020-08-17,10449.0,Texas,5722.0,48.0,7393.285714285715,174.14285714285714,7525.142857142857,194.42857142857142,TX,53.24,55.9,48,Texas,27885195.0,26.51330110578647,0.6244993342985664
571215.0,2020-08-18,10684.0,Texas,7715.0,235.0,7329.285714285715,208.14285714285714,7395.214285714285,194.5,TX,53.24,55.9,48,Texas,27885195.0,26.283788635100862,0.7464278343502965
577043.0,2020-08-19,10937.0,Texas,5828.0,253.0,7251.857142857143,200.85714285714286,7034.0,186.85714285714286,TX,53.24,55.9,48,Texas,27885195.0,26.006119529941046,0.7203002986249257
582320.0,2020-08-20,11176.0,Texas,5277.0,239.0,7019.428571428572,200.57142857142858,6903.0,185.57142857142858,TX,53.24,55.9,48,Texas,27885195.0,25.172599909839512,0.7192756893807936
587993.0,2020-08-21,11417.0,Texas,5673.0,241.0,6566.0,190.57142857142858,6768.0,182.85714285714286,TX,53.24,55.9,48,Texas,27885195.0,23.54654503940173,0.6834143658361671
591714.0,2020-08-22,11582.0,Texas,3721.0,165.0,6112.285714285715,187.0,6577.785714285715,180.0,TX,53.24,55.9,48,Texas,27885195.0,21.919465559719825,0.6706067502845148
596474.0,2020-08-23,11701.0,Texas,4760.0,119.0,5528.0,185.71428571428572,6501.642857142857,181.35714285714286,TX,53.24,55.9,48,Texas,27885195.0,19.82413965546951,0.66599600868592
