,Date,Province/State,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_avg,new_deaths_avg
248,2020-09-26,Alabama,151591,2501,933,10,1061.0,9.142857142857142
249,2020-09-27,Alabama,152321,2501,730,0,1051.2857142857142,9.142857142857142
250,2020-09-28,Alabama,152983,2501,662,0,1029.0,8.857142857142858
251,2020-09-29,Alabama,153554,2517,571,16,995.7142857142857,8.571428571428571
252,2020-09-30,Alabama,154701,2540,1147,23,1078.2857142857142,7.428571428571429
253,2020-10-01,Alabama,155744,2548,1043,8,1076.857142857143,6.0
254,2020-10-02,Alabama,156698,2550,954,2,862.8571428571429,8.428571428571429
255,2020-10-03,Alabama,158380,2558,1682,8,969.8571428571429,8.142857142857142
256,2020-10-04,Alabama,159169,2558,789,0,978.2857142857143,8.142857142857142
257,2020-10-05,Alabama,159713,2559,544,1,961.4285714285714,8.285714285714286
258,2020-10-06,Alabama,160477,2580,764,21,989.0,9.0
259,2020-10-07,Alabama,161418,2601,941,21,959.5714285714286,8.714285714285714
260,2020-10-08,Alabama,161975,2637,557,36,890.1428571428571,12.714285714285714
261,2020-10-09,Alabama,163465,2653,1490,16,966.7142857142857,14.714285714285714
262,2020-10-10,Alabama,164526,2664,1061,11,878.0,15.142857142857142
263,2020-10-11,Alabama,165342,2664,816,0,881.8571428571429,15.142857142857142
264,2020-10-12,Alabama,166076,2665,734,1,909.0,15.142857142857142
265,2020-10-13,Alabama,167193,2665,1117,0,959.4285714285714,12.142857142857142
266,2020-10-14,Alabama,167977,2706,784,41,937.0,15.0
267,2020-10-15,Alabama,169162,2756,1185,50,1026.7142857142858,17.0
268,2020-10-16,Alabama,170374,2786,1212,30,987.0,19.0
269,2020-10-17,Alabama,171662,2788,1288,2,1019.4285714285714,17.714285714285715
270,2020-10-18,Alabama,172626,2788,964,0,1040.5714285714287,17.714285714285715
271,2020-10-19,Alabama,173485,2789,859,1,1058.4285714285713,17.714285714285715
272,2020-10-20,Alabama,174528,2805,1043,16,1047.857142857143,20.0
273,2020-10-21,Alabama,175674,2828,1146,23,1099.5714285714287,17.428571428571427
274,2020-10-22,Alabama,177064,2843,1390,15,1128.857142857143,12.428571428571429
275,2020-10-23,Alabama,180916,2859,3852,16,1506.0,10.428571428571429
276,2020-01-22,Alaska,0,0,0,0,,
277,2020-01-23,Alaska,0,0,0,0,,
278,2020-01-24,Alaska,0,0,0,0,,
279,2020-01-25,Alaska,0,0,0,0,,
280,2020-01-26,Alaska,0,0,0,0,,
281,2020-01-27,Alaska,0,0,0,0,,
282,2020-01-28,Alaska,0,0,0,0,0.0,0.0
283,2020-01-29,Alaska,0,0,0,0,0.0,0.0
284,2020-01-30,Alaska,0,0,0,0,0.0,0.0
285,2020-01-31,Alaska,0,0,0,0,0.0,0.0
286,2020-02-01,Alaska,0,0,0,0,0.0,0.0
287,2020-02-02,Alaska,0,0,0,0,0.0,0.0
288,2020-02-03,Alaska,0,0,0,0,0.0,0.0
289,2020-02-04,Alaska,0,0,0,0,0.0,0.0
290,2020-02-05,Alaska,0,0,0,0,0.0,0.0
291,2020-02-06,Alaska,0,0,0,0,0.0,0.0
292,2020-02-07,Alaska,0,0,0,0,0.0,0.0
293,2020-02-08,Alaska,0,0,0,0,0.0,0.0
294,2020-02-09,Alaska,0,0,0,0,0.0,0.0
295,2020-02-10,Alaska,0,0,0,0,0.0,0.0
296,2020-02-11,Alaska,0,0,0,0,0.0,0.0
297,2020-02-12,Alaska,0,0,0,0,0.0,0.0
298,2020-02-13,Alaska,0,0,0,0,0.0,0.0
299,2020-02-14,Alaska,0,0,0,0,0.0,0.0
300,2020-02-15,Alaska,0,0,0,0,0.0,0.0
301,2020-02-16,Alaska,0,0,0,0,0.0,0.0
302,2020-02-17,Alaska,0,0,0,0,0.0,0.0
303,2020-02-18,Alaska,0,0,0,0,0.0,0.0
304,2020-02-19,Alaska,0,0,0,0,0.0,0.0
305,2020-02-20,Alaska,0,0,0,0,0.0,0.0
306,2020-02-21,Alaska,0,0,0,0,0.0,0.0
307,2020-02-22,Alaska,0,0,0,0,0.0,0.0
308,2020-02-23,Alaska,0,0,0,0,0.0,0.0
309,2020-02-24,Alaska,0,0,0,0,0.0,0.0
310,2020-02-25,Alaska,0,0,0,0,0.0,0.0
311,2020-02-26,Alaska,0,0,0,0,0.0,0.0
312,2020-02-27,Alaska,0,0,0,0,0.0,0.0
313,2020-02-28,Alaska,0,0,0,0,0.0,0.0
314,2020-02-29,Alaska,0,0,0,0,0.0,0.0
315,2020-03-01,Alaska,0,0,0,0,0.0,0.0
316,2020-03-02,Alaska,0,0,0,0,0.0,0.0
317,2020-03-03,Alaska,0,0,0,0,0.0,0.0
318,2020-03-04,Alaska,0,0,0,0,0.0,0.0
319,2020-03-05,Alaska,0,0,0,0,0.0,0.0
320,2020-03-06,Alaska,0,0,0,0,0.0,0.0
321,2020-03-07,Alaska,0,0,0,0,0.0,0.0
322,2020-03-08,Alaska,0,0,0,0,0.0,0.0
323,2020-03-09,Alaska,0,0,0,0,0.0,0.0
324,2020-03-10,Alaska,0,0,0,0,0.0,0.0
325,2020-03-11,Alaska,0,0,0,0,0.0,0.0
326,2020-03-12,Alaska,0,0,0,0,0.0,0.0
327,2020-03-13,Alaska,1,0,1,0,0.14285714285714285,0.0
328,2020-03-14,Alaska,1,0,0,0,0.14285714285714285,0.0
329,2020-03-15,Alaska,1,0,0,0,0.14285714285714285,0.0
330,2020-03-16,Alaska,1,0,0,0,0.14285714285714285,0.0
331,2020-03-17,Alaska,3,0,2,0,0.42857142857142855,0.0
332,2020-03-18,Alaska,5,0,2,0,0.7142857142857143,0.0
333,2020-03-19,Alaska,8,0,3,0,1.1428571428571428,0.0
334,2020-03-20,Alaska,11,0,3,0,1.4285714285714286,0.0
335,2020-03-21,Alaska,13,0,2,0,1.7142857142857142,0.0
336,2020-03-22,Alaska,18,0,5,0,2.4285714285714284,0.0
337,2020-03-23,Alaska,30,0,12,0,4.142857142857143,0.0
338,2020-03-24,Alaska,34,0,4,0,4.428571428571429,0.0
339,2020-03-25,Alaska,41,1,7,1,5.142857142857143,0.14285714285714285
340,2020-03-26,Alaska,56,1,15,0,6.857142857142857,0.14285714285714285
341,2020-03-27,Alaska,58,1,2,0,6.714285714285714,0.14285714285714285
342,2020-03-28,Alaska,85,2,27,1,10.285714285714286,0.2857142857142857
343,2020-03-29,Alaska,102,2,17,0,12.0,0.2857142857142857
344,2020-03-30,Alaska,114,3,12,1,12.0,0.42857142857142855
345,2020-03-31,Alaska,119,3,5,0,12.142857142857142,0.42857142857142855
346,2020-04-01,Alaska,132,3,13,0,13.0,0.2857142857142857
347,2020-04-02,Alaska,143,3,11,0,12.428571428571429,0.2857142857142857
348,2020-04-03,Alaska,157,3,14,0,14.142857142857142,0.2857142857142857
349,2020-04-04,Alaska,171,5,14,2,12.285714285714286,0.42857142857142855
350,2020-04-05,Alaska,185,6,14,1,11.857142857142858,0.5714285714285714
351,2020-04-06,Alaska,190,6,5,0,10.857142857142858,0.42857142857142855
352,2020-04-07,Alaska,213,6,23,0,13.428571428571429,0.42857142857142855
353,2020-04-08,Alaska,226,7,13,1,13.428571428571429,0.5714285714285714
354,2020-04-09,Alaska,235,7,9,0,13.142857142857142,0.5714285714285714
355,2020-04-10,Alaska,246,7,11,0,12.714285714285714,0.5714285714285714
356,2020-04-11,Alaska,257,8,11,1,12.285714285714286,0.42857142857142855
357,2020-04-12,Alaska,272,8,15,0,12.428571428571429,0.2857142857142857
358,2020-04-13,Alaska,277,8,5,0,12.428571428571429,0.2857142857142857
359,2020-04-14,Alaska,285,9,8,1,10.285714285714286,0.42857142857142855
360,2020-04-15,Alaska,293,9,8,0,9.571428571428571,0.2857142857142857
361,2020-04-16,Alaska,300,9,7,0,9.285714285714286,0.2857142857142857
362,2020-04-17,Alaska,309,9,9,0,9.0,0.2857142857142857
363,2020-04-18,Alaska,314,9,5,0,8.142857142857142,0.14285714285714285
364,2020-04-19,Alaska,319,9,5,0,6.714285714285714,0.14285714285714285
365,2020-04-20,Alaska,321,9,2,0,6.285714285714286,0.14285714285714285
366,2020-04-21,Alaska,329,9,8,0,6.285714285714286,0.0
367,2020-04-22,Alaska,335,9,6,0,6.0,0.0
368,2020-04-23,Alaska,337,9,2,0,5.285714285714286,0.0
369,2020-04-24,Alaska,339,9,2,0,4.285714285714286,0.0
370,2020-04-25,Alaska,339,9,0,0,3.5714285714285716,0.0
371,2020-04-26,Alaska,340,9,1,0,3.0,0.0
372,2020-04-27,Alaska,345,9,5,0,3.4285714285714284,0.0
373,2020-04-28,Alaska,351,9,6,0,3.142857142857143,0.0
374,2020-04-29,Alaska,355,9,4,0,2.857142857142857,0.0
375,2020-04-30,Alaska,355,9,0,0,2.5714285714285716,0.0
376,2020-05-01,Alaska,364,9,9,0,3.5714285714285716,0.0
377,2020-05-02,Alaska,365,9,1,0,3.7142857142857144,0.0
378,2020-05-03,Alaska,368,9,3,0,4.0,0.0
379,2020-05-04,Alaska,370,9,2,0,3.5714285714285716,0.0
380,2020-05-05,Alaska,371,9,1,0,2.857142857142857,0.0
381,2020-05-06,Alaska,372,10,1,1,2.4285714285714284,0.14285714285714285
382,2020-05-07,Alaska,374,10,2,0,2.7142857142857144,0.14285714285714285
383,2020-05-08,Alaska,377,10,3,0,1.8571428571428572,0.14285714285714285
384,2020-05-09,Alaska,378,10,1,0,1.8571428571428572,0.14285714285714285
385,2020-05-10,Alaska,379,10,1,0,1.5714285714285714,0.14285714285714285
