"name","United States","Michigan","Alcona County, MI","Alger County, MI","Allegan County, MI","Alpena County, MI","Antrim County, MI","Arenac County, MI","Baraga County, MI","Barry County, MI","Bay County, MI","Benzie County, MI","Berrien County, MI","Branch County, MI","Calhoun County, MI","Cass County, MI","Charlevoix County, MI","Cheboygan County, MI","Chippewa County, MI","Clare County, MI","Clinton County, MI","Crawford County, MI","Delta County, MI","Dickinson County, MI","Eaton County, MI","Emmet County, MI","Genesee County, MI","Gladwin County, MI","Gogebic County, MI","Grand Traverse County, MI","Gratiot County, MI","Hillsdale County, MI","Houghton County, MI","Huron County, MI","Ingham County, MI","Ionia County, MI","Iosco County, MI","Iron County, MI","Isabella County, MI","Jackson County, MI","Kalamazoo County, MI","Kalkaska County, MI","Kent County, MI","Keweenaw County, MI","Lake County, MI","Lapeer County, MI","Leelanau County, MI","Lenawee County, MI","Livingston County, MI","Luce County, MI","Mackinac County, MI","Macomb County, MI","Manistee County, MI","Marquette County, MI","Mason County, MI","Mecosta County, MI","Menominee County, MI","Midland County, MI","Missaukee County, MI","Monroe County, MI","Montcalm County, MI","Montmorency County, MI","Muskegon County, MI","Newaygo County, MI","Oakland County, MI","Oceana County, MI","Ogemaw County, MI","Ontonagon County, MI","Osceola County, MI","Oscoda County, MI","Otsego County, MI","Ottawa County, MI","Presque Isle County, MI","Roscommon County, MI","Saginaw County, MI","St. Clair County, MI","St. Joseph County, MI","Sanilac County, MI","Schoolcraft County, MI","Shiawassee County, MI","Tuscola County, MI","Van Buren County, MI","Washtenaw County, MI","Wayne County, MI","Wexford County, MI","label","concept"
"B01001020","3317817","113006","191","164","1316","381","352","299","116","781","1502","317","1901","475","1601","625","407","522","571","527","880","274","585","400","1317","458","4495","449","288","1239","522","673","466","458","2683","732","433","248","610","2045","2475","270","5759","42","220","1155","470","1298","2180","82","265","9033","529","932","391","598","364","1146","211","1766","671","195","2147","629","13434","347","363","151","345","193","329","2617","274","375","2406","2167","733","608","138","770","708","960","3466","18038","453","Estimate!!Total!!Male!!65 and 66 years","SEX BY AGE"
"B01001021","4431587","146845","323","232","1613","539","527","335","151","1273","1677","386","2586","751","2044","1121","572","652","505","654","1168","357","870","443","2020","649","6329","599","407","1688","456","765","450","760","3741","881","643","277","669","2522","3056","365","7645","117","407","1459","612","1563","3223","118","245","11413","551","1143","762","500","533","1003","297","2311","894","234","2394","789","17993","537","474","216","465","227","471","3850","355","891","2989","2734","946","788","238","1206","932","1261","4507","21936","560","Estimate!!Total!!Male!!67 to 69 years","SEX BY AGE"
"B01001022","5589645","185639","533","291","2419","803","861","430","263","1110","2175","572","3168","1013","2435","1348","761","772","794","845","1577","377","832","627","2185","899","7188","893","395","1886","827","945","789","803","3920","1085","975","428","1033","2983","4351","432","8837","92","416","2008","735","2112","3774","187","330","16350","684","1489","687","1122","588","1588","409","3110","1395","443","3137","1230","22864","651","654","276","554","255","597","4383","464","1001","3818","3180","1163","929","228","1315","1275","1584","5576","27369","757","Estimate!!Total!!Male!!70 to 74 years","SEX BY AGE"
"B01001023","3813282","124857","406","162","1556","451","526","372","173","786","1654","364","2205","730","1786","882","593","530","561","692","1058","360","722","484","1330","679","5071","651","281","1102","551","765","558","637","2680","709","736","261","660","2070","3017","311","6042","78","312","1212","624","1305","2722","124","282","9976","462","958","619","675","551","1238","252","2108","799","280","2042","673","13870","482","497","191","429","263","369","3259","354","759","2738","2184","832","829","214","965","926","1076","3469","18196","499","Estimate!!Total!!Male!!75 to 79 years","SEX BY AGE"
"B01001024","2478255","79592","229","84","654","395","340","193","78","545","967","242","1510","314","1134","475","289","386","320","415","596","214","474","300","1036","283","3667","336","227","911","347","488","275","440","1549","377","398","182","411","1257","1706","157","4183","28","202","729","308","883","1258","102","194","6852","306","561","373","317","272","615","182","1153","546","162","1360","497","9371","256","358","123","294","115","294","2005","271","389","1693","1418","532","427","86","672","555","708","2176","12220","345","Estimate!!Total!!Male!!80 to 84 years","SEX BY AGE"
"B01001025","2150714","70555","161","167","761","339","298","113","72","511","784","207","1513","278","1016","355","232","334","348","229","529","95","343","276","678","232","2754","254","198","716","370","274","287","397","1476","335","298","176","291","1202","1471","142","3826","25","128","530","297","663","923","54","92","6788","329","640","184","365","232","866","108","893","553","116","1176","422","9290","252","182","95","147","51","231","1956","178","235","1669","1218","398","337","95","363","350","417","1970","11155","244","Estimate!!Total!!Male!!85 years and over","SEX BY AGE"
"B01001026","163918840","5058370","5140","4090","57664","14517","11662","7484","3787","29809","53300","8809","79070","21099","68691","25671","13312","12738","17040","15457","39368","6776","18192","12816","55802","16732","211979","12550","7090","46379","19106","23032","16692","15851","148594","30123","12669","5617","36404","77708","133548","8555","326406","1019","5763","43360","10897","48659","93916","2621","5354","445869","11786","33236","14574","21420","11453","42409","7338","75785","30614","4596","86960","23993","640072","13005","10448","2914","11494","4026","12336","143749","6411","12020","99197","80266","30638","20842","4085","34692","26518","37843","184585","913734","16544","Estimate!!Total!!Female","SEX BY AGE"
"B01001027","9689890","279263","166","159","3489","702","448","320","188","1628","2520","358","4483","1277","4020","1211","579","460","897","871","2129","316","886","642","2912","735","11934","601","276","2284","954","1365","888","752","8056","1747","514","225","1720","4400","7855","419","21491","33","224","2155","409","2594","4591","128","195","23321","521","1635","743","894","478","2200","468","3826","1838","171","5220","1385","33250","758","447","68","608","199","611","8736","258","404","5373","3853","1931","1043","158","1819","1311","2207","8940","56410","973","Estimate!!Total!!Female!!Under 5 years","SEX BY AGE"
"B01001028","9953982","291484","198","187","4052","593","544","371","242","1930","2737","344","4621","1444","4053","1393","700","501","903","895","2348","367","988","642","3116","719","12210","637","319","2582","1229","1250","1013","866","7809","2010","707","238","1686","4579","7629","506","21304","74","262","2344","506","2695","5497","122","254","25313","536","1584","856","1072","551","2445","424","4320","2003","160","5211","1646","34929","881","490","93","685","218","776","9023","246","493","5515","4489","2008","1298","201","1835","1428","2506","8902","56023","1108","Estimate!!Total!!Female!!5 to 9 years","SEX BY AGE"
"B01001029","10173063","308026","169","188","3790","867","653","374","176","1845","3261","555","4726","1419","4447","1633","795","667","965","713","2678","295","984","756","3339","1039","13442","652","340","2637","1081","1447","996","792","7792","2398","503","272","1715","4799","7833","553","21514","21","267","2793","465","2998","5972","159","229","25511","634","1703","751","1133","610","2576","497","4864","1974","218","5945","1394","38784","829","566","121","688","158","711","10126","330","532","5768","4904","2204","1236","217","2170","1542","2488","10117","57607","1114","Estimate!!Total!!Female!!10 to 14 years","SEX BY AGE"
