Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,Central/Outlying County,FIPS_combined,FIPS_population,mix_index,mix_index_population
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Hamilton County,Ohio,Central,39061,812037,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Warren County,Ohio,Central,39165,226564,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cleveland-Akron-Canton, OH",Cuyahoga County,Ohio,Central,39035,1253783,"Cleveland-Akron-Canton, OH",3607736.0
,"Cleveland-Akron-Canton, OH",Geauga County,Ohio,Central,39055,93961,"Cleveland-Akron-Canton, OH",3607736.0
,"Cleveland-Akron-Canton, OH",Lake County,Ohio,Central,39085,230052,"Cleveland-Akron-Canton, OH",3607736.0
,"Cleveland-Akron-Canton, OH",Lorain County,Ohio,Outlying,39093,306713,"Cleveland-Akron-Canton, OH",3607736.0
,"Cleveland-Akron-Canton, OH",Medina County,Ohio,Central,39103,177257,"Cleveland-Akron-Canton, OH",3607736.0
,"San Juan-Bayamón, PR",Salinas Municipio,Puerto Rico,Central,72123,28633,"San Juan-Bayamón, PR",2432066.0
,"Indianapolis-Carmel-Muncie, IN",Bartholomew County,Indiana,Central,18005,81893,"Indianapolis-Carmel-Muncie, IN",2389982.0
,"Columbus-Marion-Zanesville, OH",Delaware County,Ohio,Central,39041,197008,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Fairfield County,Ohio,Central,39045,152910,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Franklin County,Ohio,Central,39049,1275333,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Hocking County,Ohio,Outlying,39073,28495,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Licking County,Ohio,Outlying,39089,172293,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Madison County,Ohio,Outlying,39097,43988,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Morrow County,Ohio,Outlying,39117,34976,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Perry County,Ohio,Outlying,39127,35985,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Pickaway County,Ohio,Outlying,39129,57420,"Columbus-Marion-Zanesville, OH",2456974.0
,"Columbus-Marion-Zanesville, OH",Union County,Ohio,Outlying,39159,55654,"Columbus-Marion-Zanesville, OH",2456974.0
,"Boston-Worcester-Providence, MA-RI-NH-CT",Merrimack County,New Hampshire,Central,33013,149452,"Boston-Worcester-Providence, MA-RI-NH-CT",3389203.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Habersham County,Georgia,Central,13137,44289,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Portland-Vancouver-Salem, OR-WA",Benton County,Oregon,Central,41003,89780,"Portland-Vancouver-Salem, OR-WA",3152673.0
,"Indianapolis-Carmel-Muncie, IN",Montgomery County,Indiana,Central,18107,38276,"Indianapolis-Carmel-Muncie, IN",2389982.0
"Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK",Collin County,Texas,Central,48085,944350,"Dallas-Plano-Irving, TX",4811491.0
"Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK",Dallas County,Texas,Central,48113,2586552,"Dallas-Plano-Irving, TX",4811491.0
"Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK",Denton County,Texas,Outlying,48121,807047,"Dallas-Plano-Irving, TX",4811491.0
"Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK",Ellis County,Texas,Central,48139,168838,"Dallas-Plano-Irving, TX",4811491.0
"Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK",Hunt County,Texas,Outlying,48231,92152,"Dallas-Plano-Irving, TX",4811491.0
"Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK",Kaufman County,Texas,Outlying,48257,118910,"Dallas-Plano-Irving, TX",4811491.0
"Dallas-Plano-Irving, TX","Dallas-Fort Worth, TX-OK",Rockwall County,Texas,Central,48397,93642,"Dallas-Plano-Irving, TX",4811491.0
"Fort Worth-Arlington-Grapevine, TX","Dallas-Fort Worth, TX-OK",Johnson County,Texas,Central,48251,163475,"Fort Worth-Arlington-Grapevine, TX",2377893.0
"Fort Worth-Arlington-Grapevine, TX","Dallas-Fort Worth, TX-OK",Parker County,Texas,Outlying,48367,129802,"Fort Worth-Arlington-Grapevine, TX",2377893.0
"Fort Worth-Arlington-Grapevine, TX","Dallas-Fort Worth, TX-OK",Tarrant County,Texas,Central,48439,2019977,"Fort Worth-Arlington-Grapevine, TX",2377893.0
"Fort Worth-Arlington-Grapevine, TX","Dallas-Fort Worth, TX-OK",Wise County,Texas,Outlying,48497,64639,"Fort Worth-Arlington-Grapevine, TX",2377893.0
,"Orlando-Lakeland-Deltona, FL",Flagler County,Florida,Central,12035,107139,"Orlando-Lakeland-Deltona, FL",3901932.0
,"Orlando-Lakeland-Deltona, FL",Volusia County,Florida,Central,12127,527634,"Orlando-Lakeland-Deltona, FL",3901932.0
,"Denver-Aurora, CO",Adams County,Colorado,Central,08001,497115,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Arapahoe County,Colorado,Central,08005,636671,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Broomfield County,Colorado,Central,08014,66120,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Clear Creek County,Colorado,Outlying,08019,9379,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Denver County,Colorado,Central,08031,693417,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Douglas County,Colorado,Central,08035,328614,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Elbert County,Colorado,Outlying,08039,25162,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Gilpin County,Colorado,Outlying,08047,5924,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Jefferson County,Colorado,Central,08059,570427,"Denver-Aurora, CO",3466374.0
,"Denver-Aurora, CO",Park County,Colorado,Outlying,08093,17392,"Denver-Aurora, CO",3466374.0
"Detroit-Dearborn-Livonia, MI","Detroit-Warren-Ann Arbor, MI",Wayne County,Michigan,Central,26163,1761382,"Detroit-Dearborn-Livonia, MI",1761382.0
"Warren-Troy-Farmington Hills, MI","Detroit-Warren-Ann Arbor, MI",Lapeer County,Michigan,Outlying,26087,88202,"Warren-Troy-Farmington Hills, MI",2555797.0
